Pronoun-offset,A-offset,B-offset,offsetPronoun-A,offsetPronoun-B,pre_predict-A,pre_predict-B,pre_predict-N,tar_predict-A,tar_predict-B,tar_predict-N,PronounType,GenderBin,CountNounA,CountNounB,Pronoun_binary,IsFinalPro,IsInitialPro
274,191,207,-83,-67,0.44828856616231616,0.43737943288892855,0.11433200094875519,0.48722560989034974,0.38681379300085744,0.12596059710879304,1,1,1,2,4,1,0
284,228,251,-56,-33,0.48405882009598095,0.3939310674788687,0.12201011242515002,0.4996837258822053,0.3960634985692269,0.10425277554856792,1,0,1,1,2,1,0
265,173,246,-92,-19,0.4438852926348604,0.43977968434889275,0.11633502301624694,0.45356507356470993,0.4277033168142976,0.11873160962099252,1,0,1,3,2,1,0
321,174,336,-147,15,0.4678691457539979,0.4182610777325801,0.11386977651342205,0.4531738426209542,0.43014450697902745,0.11668165040001838,1,0,1,1,2,0,0
437,219,294,-218,-143,0.533419360785841,0.34647056708874935,0.12011007212540985,0.5387487454214983,0.37071837146431685,0.09053288311418481,0,1,2,1,1,1,0
411,236,347,-175,-64,0.43756690169774276,0.44495499116742304,0.1174781071348344,0.361751221863673,0.5077472835414352,0.1305014945948916,0,1,2,2,1,1,0
273,152,253,-121,-20,0.42966306921218966,0.4565043821741496,0.11383254861366063,0.4979554027882489,0.378011777787717,0.12403281942403414,1,0,1,1,2,1,0
337,173,377,-164,40,0.4551253341557976,0.43016922793744605,0.11470543790675633,0.37806696269937945,0.49473999790574896,0.12719303939487184,1,0,1,1,2,0,0
246,255,267,9,21,0.4893601662042103,0.392662403954022,0.11797742984176773,0.43781197730868976,0.4455970998425362,0.11659092284877416,1,1,1,1,4,0,1
329,196,226,-133,-103,0.4862364316166238,0.39992548647684506,0.11383808190653097,0.5110731179445042,0.36913979327385704,0.11978708878163903,0,1,1,1,1,1,0
300,168,212,-132,-88,0.4447960869387069,0.44200887108444425,0.11319504197684871,0.5046185379764574,0.38497618019578195,0.1104052818277609,1,0,1,1,2,1,0
304,217,285,-87,-19,0.4759362254657015,0.40830026151593946,0.11576351301835892,0.39309249881703984,0.4365753064340864,0.17033219474887382,0,1,3,1,1,1,0
293,247,273,-46,-20,0.4983192663865554,0.3892467414183812,0.11243399219506342,0.4698249225170487,0.42373252795056787,0.10644254953238365,1,1,2,1,4,1,0
