Pronoun-offset,A-offset,B-offset,offsetPronoun-A,offsetPronoun-B,pre_predict-A,pre_predict-B,pre_predict-N,tar_predict-A,tar_predict-B,tar_predict-N,PronounType,GenderBin,CountNounA,CountNounB,Pronoun_binary,IsFinalPro,IsInitialPro
383,352,366,-31,-17,0.336680886248736,0.5280364919317099,0.13528262181955442,0.4020450775965,0.4872103431316379,0.11074457927186179,1,0,1,2,2,1,0
430,353,390,-77,-40,0.4036082217617564,0.4894906454199238,0.10690113281831966,0.3979203171087502,0.4919735130397109,0.11010616985153901,1,0,2,1,3,1,0
312,256,295,-56,-17,0.36609615967378284,0.5062495671447893,0.12765427318142752,0.46811334808133687,0.4182891384736841,0.1135975134449789,0,0,2,1,0,1,0
526,377,536,-149,10,0.41115373478989264,0.47508623670119576,0.11376002850891168,0.3415681636887241,0.5466489582898976,0.11178287802137794,1,0,3,2,2,0,0
406,421,559,15,153,0.4757919679937506,0.3922866047680672,0.1319214272381821,0.4829469871960558,0.40095660682757767,0.11609640597636607,1,0,2,1,2,0,1
349,281,310,-68,-39,0.44111037899005934,0.3828305940273483,0.17605902698259235,0.5115447740180766,0.3694535862396678,0.11900163974225568,1,1,1,2,4,1,0
365,232,290,-133,-75,0.40209341164178203,0.4649138564677265,0.13299273189049196,0.5415275124192563,0.3433730676110013,0.11509941996974227,0,1,3,1,1,1,0
307,248,277,-59,-30,0.3642675121760815,0.5142568964793077,0.12147559134461088,0.3779992693722811,0.5103958525980523,0.11160487802966639,1,1,1,2,4,1,0
227,124,169,-103,-58,0.48749536830870555,0.41373504499178515,0.09876958669950943,0.5407357929888634,0.34371867085429914,0.11554553615683746,0,0,2,1,0,1,0
223,78,154,-145,-69,0.40557495895870316,0.46651891500814613,0.1279061260331505,0.40740208584289683,0.4808354836785529,0.11176243047855051,1,1,1,2,4,1,0
344,313,369,-31,25,0.5017534690702896,0.4035375277831764,0.09470900314653394,0.4591413124364722,0.4284255001862606,0.11243318737726747,1,1,1,1,4,0,0
290,195,207,-95,-83,0.3804501877111965,0.48302421154078345,0.13652560074802006,0.39973570190613766,0.4851971324776302,0.11506716561623219,0,1,1,1,1,1,0
352,206,232,-146,-120,0.4461822990600249,0.44771662391674866,0.10610107702322644,0.4220475662594263,0.46646494068530087,0.11148749305527271,1,0,2,2,2,1,0
256,181,222,-75,-34,0.44145094796985335,0.44926618622100517,0.10928286580914122,0.42811450806987705,0.459743154134037,0.11214233779608587,0,0,1,2,0,1,0
126,0,70,-126,-56,0.4889771096265324,0.41089288490555803,0.10013000546790946,0.48218455228303453,0.4027461069001812,0.11506934081678413,0,1,1,1,1,1,0
320,360,445,40,125,0.35878658836273397,0.5146504004933704,0.1265630111438958,0.5134056263185619,0.37081295372014167,0.11578141996129623,1,0,4,2,2,0,1
302,185,282,-117,-20,0.46894602662611473,0.4048729519882114,0.12618102138567378,0.5437834919974267,0.3441571122897073,0.112059395712866,0,1,1,1,1,1,0
297,165,228,-132,-69,0.3955479925041181,0.49791742742812556,0.10653458006775635,0.43167659883076154,0.457126508684215,0.11119689248502358,1,1,2,1,4,1,0
277,210,241,-67,-36,0.40121621152794457,0.47716983194886464,0.12161395652319051,0.5081443887037248,0.38111677421359663,0.1107388370826785,1,1,2,1,4,1,0
182,0,248,-182,66,0.5418313169713297,0.3521387877055512,0.10602989532311873,0.48821918456409447,0.3925531306337452,0.11922768480216014,0,0,1,2,0,0,0
349,298,314,-51,-35,0.2871200331485346,0.5847541109908564,0.1281258558606091,0.3719313127203052,0.5173135492238666,0.11075513805582808,1,0,3,3,2,1,0
313,242,272,-71,-41,0.3536173906406201,0.5426954775759054,0.1036871317834748,0.46336887650427555,0.4221926637111884,0.11443845978453607,1,1,1,2,4,1,0
270,173,231,-97,-39,0.53383271436714,0.3555358215625938,0.11063146407026624,0.46856630449743486,0.41724436399538195,0.11418933150718324,0,0,2,1,0,1,0
509,294,495,-215,-14,0.2783964463487059,0.5900177998175001,0.1315857538337938,0.5433751909144082,0.34216900675051026,0.11445580233508154,0,0,2,1,0,1,0
